CPU_type,CPU_cores,OS,RAM_size,RAM_type,SSD_size,SSD,Drive_size,MRP
Intel,2.0,Windows,8,DDR4,256,1,256,41150.0
Intel,2.0,Windows,8,DDR4,256,1,256,36990.0
Intel,2.0,Windows,8,DDR4,512,1,512,39990.0
AMD,2.0,Windows,8,DDR4,256,1,256,33990.0
Intel,6.0,Windows,16,DDR5,1000,1,1000,190890.0
Intel,6.0,Windows,16,DDR5,1000,1,1000,174990.0
AMD,8.0,Windows,16,DDR4,1000,1,1000,118990.0
Intel,4.0,Windows,8,DDR4,512,1,512,39990.0
AMD,8.0,Windows,16,DDR5,1000,1,1000,196990.0
Intel,4.0,Windows,16,DDR4,512,1,512,63980.0
AMD,6.0,Windows,8,DDR4,512,1,512,54300.0
AMD,4.0,Windows,8,DDR4,512,1,512,38705.0
AMD,8.0,Windows,16,DDR4,1000,1,1000,85990.0
AMD,2.0,Windows,8,DDR4,256,1,256,36400.0
Intel,2.0,Windows,4,DDR4,256,1,256,28590.0
AMD,6.0,Windows,16,DDR4,512,1,512,69999.0
Intel,6.0,Windows,32,DDR5,1000,1,1000,301990.0
AMD,2.0,Windows,8,DDR4,512,1,512,35590.0
AMD,8.0,Windows,16,DDR4,1000,1,1000,150990.0
Intel,2.0,Windows,8,DDR4,256,1,256,37000.0
Intel,4.0,Windows,16,DDR4,512,1,512,64990.0
AMD,8.0,Windows,8,DDR4,512,1,512,73490.0
AMD,8.0,Windows,16,DDR5,1000,1,1000,194990.0
Intel,2.0,Windows,8,DDR4,256,1,256,42690.0
AMD,8.0,Windows,16,DDR5,1000,1,1000,140990.0
Intel,2.0,Windows,4,DDR4,256,1,256,38990.0
Intel,6.0,Windows,16,DDR4,512,1,512,128990.0
Intel,2.0,Windows,8,DDR4,512,1,512,54999.0
Intel,2.0,Windows,8,DDR4,256,1,256,36990.0
Intel,4.0,Windows,8,DDR4,256,1,1256,60130.0
Intel,4.0,Windows,8,DDR4,256,1,256,29490.0
Intel,4.0,Windows,8,DDR4,512,1,512,72490.0
Intel,2.0,Windows,8,DDR4,512,1,512,39990.0
Intel,4.0,Windows,16,DDR4,512,1,512,73990.0
Intel,4.0,Windows,8,DDR4,0,0,1000,47130.0
AMD,8.0,Windows,8,DDR4,512,1,512,55600.0
Intel,4.0,Windows,8,DDR4,512,1,512,39990.0
AMD,4.0,Windows,8,DDR4,512,1,512,49690.0
Intel,6.0,Windows,32,DDR5,1000,1,1000,239990.0
Intel,4.0,Windows,16,DDR4,512,1,512,73990.0
AMD,4.0,Windows,8,DDR4,512,1,512,38705.0
AMD,6.0,Windows,8,DDR4,512,1,512,52490.0
Intel,2.0,Windows,8,DDR4,512,1,512,41990.0
Intel,4.0,Windows,8,DDR4,256,1,256,29990.0
AMD,8.0,Windows,16,DDR5,1000,1,1000,196990.0
Intel,4.0,Windows,8,DDR4,512,1,512,50490.0
Intel,6.0,Windows,16,DDR4,512,1,1512,96490.0
Intel,4.0,Windows,16,DDR4,512,1,512,37990.0
AMD,8.0,Windows,16,DDR4,1000,1,1000,85990.0
Intel,4.0,Windows,16,DDR4,512,1,512,74990.0
Intel,4.0,Windows,8,DDR4,512,1,512,51990.0
Intel,2.0,Windows,8,DDR4,256,1,256,36990.0
Intel,2.0,Windows,8,DDR4,512,1,512,39990.0
AMD,6.0,Windows,8,DDR4,256,1,1256,71345.0
Intel,6.0,Windows,16,DDR4,1000,1,1000,101490.0
Intel,6.0,Windows,32,DDR5,1000,1,1000,274990.0
AMD,8.0,Windows,16,DDR5,1000,1,1000,199990.0
Intel,4.0,Windows,8,DDR4,512,1,512,39990.0
AMD,8.0,Windows,16,DDR5,1000,1,1000,196990.0
Intel,2.0,Windows,8,DDR4,256,1,256,41090.0
Intel,4.0,Windows,8,DDR4,256,1,256,50499.0
AMD,4.0,Windows,8,DDR4,512,1,512,38705.0
AMD,8.0,Windows,16,DDR4,1000,1,1000,85990.0
AMD,8.0,Windows,8,DDR4,512,1,512,78950.0
AMD,6.0,Windows,16,DDR4,512,1,512,67990.0
AMD,8.0,Windows,16,DDR4,1000,1,1000,187990.0
Intel,6.0,Windows,16,DDR4,1000,1,1000,102990.0
AMD,2.0,Windows,8,DDR4,512,1,512,35590.0
AMD,8.0,Windows,16,DDR4,1000,1,1000,150990.0
Intel,2.0,DOS,4,DDR4,256,1,256,35990.0
AMD,4.0,Windows,8,DDR4,512,1,512,52575.0
AMD,8.0,Windows,8,DDR4,512,1,512,73490.0
AMD,8.0,Windows,16,DDR5,1000,1,1000,194990.0
AMD,4.0,Windows,8,DDR4,512,1,512,50990.0
Intel,4.0,Windows,16,DDR4,512,1,512,60125.0
Intel,2.0,Windows,4,DDR4,256,1,256,26490.0
AMD,8.0,Windows,8,DDR4,512,1,512,80249.0
Intel,2.0,Windows,8,DDR4,256,1,256,36990.0
Intel,2.0,Windows,8,DDR4,512,1,512,39990.0
Intel,4.0,Windows,8,DDR4,128,1,1128,129999.0
AMD,8.0,Windows,8,DDR4,1000,1,1000,76990.0
Intel,4.0,Windows,8,DDR4,512,1,512,39990.0
AMD,8.0,Windows,16,DDR5,1000,1,1000,196990.0
Intel,2.0,Windows,8,DDR4,512,1,512,36990.0
Intel,6.0,Windows,16,DDR4,512,1,512,107790.0
Intel,4.0,Windows,16,DDR4,512,1,512,75990.0
Intel,4.0,Windows,16,DDR4,512,1,512,95990.0
AMD,4.0,Windows,8,DDR4,512,1,512,38705.0
AMD,8.0,Windows,16,DDR4,1000,1,1000,85990.0
Intel,4.0,Windows,8,DDR4,512,1,512,61999.0
Intel,2.0,Windows,8,DDR4,256,1,256,28990.0
AMD,2.0,Windows,8,DDR4,512,1,512,35590.0
AMD,8.0,Windows,16,DDR4,1000,1,1000,150990.0
Intel,4.0,Windows,8,DDR4,512,1,512,54990.0
Intel,6.0,Windows,16,DDR4,512,1,512,56990.0
Intel,4.0,Windows,8,DDR4,256,1,256,45990.0
Intel,2.0,Windows,8,DDR4,512,1,512,38216.0
Intel,2.0,Windows,8,DDR4,256,1,256,36990.0
Intel,2.0,Windows,8,DDR4,512,1,512,39990.0
Intel,6.0,Windows,8,DDR4,512,1,512,79990.0
Intel,2.0,Windows,4,DDR4,256,1,1256,43990.0
Intel,4.0,Windows,8,DDR4,512,1,512,39990.0
AMD,8.0,Windows,16,DDR5,1000,1,1000,196990.0
AMD,8.0,Windows,16,DDR4,1000,1,1000,108250.0
Intel,2.0,Windows,4,DDR4,0,0,1000,28990.0
Intel,6.0,Windows,32,DDR5,2000,1,2000,389990.0
Intel,4.0,Windows,16,DDR4,512,1,512,67224.0
AMD,4.0,Windows,8,DDR4,512,1,512,38705.0
AMD,8.0,Windows,16,DDR4,1000,1,1000,85990.0
AMD,8.0,Windows,16,DDR4,256,1,1256,114990.0
Intel,4.0,Windows,4,DDR4,0,0,1000,61249.0
AMD,2.0,Windows,8,DDR4,512,1,512,35590.0
AMD,8.0,Windows,16,DDR4,1000,1,1000,150990.0
Intel,4.0,Windows,16,DDR4,512,1,512,69990.0
AMD,6.0,DOS,8,DDR4,512,1,512,69990.0
Intel,4.0,Windows,16,DDR4,512,1,512,79990.0
AMD,2.0,Windows,8,DDR4,256,1,256,37990.0
AMD,8.0,Windows,8,DDR4,512,1,512,73490.0
AMD,8.0,Windows,16,DDR5,1000,1,1000,194990.0
Intel,4.0,Windows,8,DDR4,512,1,512,36990.0
Intel,2.0,Windows,4,DDR4,128,1,128,29980.0
Intel,2.0,Windows,8,DDR4,256,1,256,36990.0
Intel,4.0,Windows,8,DDR4,512,1,512,39990.0
Intel,4.0,Windows,16,DDR4,512,1,512,95990.0
AMD,2.0,Windows,8,DDR4,512,1,512,41600.0
Intel,4.0,Windows,16,DDR4,512,1,512,67224.0
Intel,4.0,Windows,8,DDR4,512,1,512,61986.0
AMD,8.0,Windows,16,DDR5,1000,1,1000,196990.0
AMD,4.0,Windows,8,DDR4,512,1,512,38705.0
Intel,4.0,Windows,4,DDR4,0,0,1000,61249.0
AMD,2.0,Windows,8,DDR4,256,1,256,38999.0
AMD,8.0,Windows,16,DDR4,1000,1,1000,85990.0
AMD,2.0,Windows,8,DDR4,512,1,512,35590.0
Intel,2.0,Windows,4,DDR4,256,1,256,31990.0
AMD,2.0,Windows,8,DDR4,256,1,256,37990.0
Intel,2.0,Windows,4,DDR4,128,1,128,29980.0
Intel,4.0,Windows,8,DDR4,512,1,512,46990.0
AMD,8.0,Windows,16,DDR4,1000,1,1000,150990.0
AMD,8.0,Windows,8,DDR4,512,1,512,73490.0
Intel,4.0,Windows,8,DDR4,512,1,512,37990.0
Intel,4.0,Windows,8,DDR4,512,1,512,36990.0
Intel,2.0,Windows,8,DDR4,512,1,512,39990.0
AMD,8.0,Windows,16,DDR5,1000,1,1000,194990.0
AMD,6.0,Windows,8,DDR4,256,1,1256,61490.0
AMD,8.0,Windows,16,DDR4,1000,1,1000,109990.0
AMD,6.0,Windows,8,DDR4,512,1,512,54990.0
AMD,6.0,Windows,8,DDR4,512,1,512,50990.0
Intel,2.0,Windows,8,DDR4,256,1,256,36990.0
Intel,4.0,Windows,8,DDR4,512,1,512,39990.0
Intel,4.0,Windows,8,DDR4,0,0,1000,62190.0
Intel,2.0,Chrome,4,DDR4,0,0,64,24390.0
AMD,8.0,Windows,16,DDR5,1000,1,1000,196990.0
AMD,4.0,Windows,8,DDR4,512,1,512,38705.0
Intel,2.0,Windows,8,DDR4,0,0,1000,36990.0
AMD,8.0,Windows,16,DDR4,1000,1,1000,159990.0
Intel,2.0,Windows,4,DDR4,256,1,256,34490.0
AMD,8.0,Windows,16,DDR4,512,1,512,99990.0
AMD,8.0,Windows,16,DDR4,1000,1,1000,85990.0
AMD,2.0,Windows,8,DDR4,512,1,512,35590.0
Intel,4.0,Windows,8,DDR4,512,1,512,79990.0
Intel,4.0,Windows,4,DDR4,128,1,128,20990.0
AMD,8.0,Windows,16,DDR4,1000,1,1000,150990.0
Intel,2.0,Windows,8,DDR4,512,1,512,39990.0
Intel,2.0,Windows,8,DDR4,256,1,1256,41490.0
AMD,8.0,Windows,16,DDR5,1000,1,1000,206581.0
AMD,6.0,Windows,8,DDR4,512,1,512,59990.0
Intel,4.0,Windows,16,DDR4,512,1,512,62990.0
AMD,8.0,Windows,16,DDR5,1000,1,1000,194990.0
AMD,6.0,Windows,8,DDR4,512,1,512,44990.0
AMD,8.0,Windows,16,DDR5,1000,1,1000,194990.0
AMD,6.0,Windows,8,DDR4,256,1,1256,62990.0
Intel,4.0,Windows,8,DDR4,512,1,512,39990.0
AMD,8.0,Windows,16,DDR5,1000,1,1000,196990.0
AMD,6.0,Windows,8,DDR4,512,1,512,61990.0
AMD,8.0,Windows,16,DDR5,1000,1,1000,105990.0
Intel,6.0,Windows,16,DDR5,1000,1,1000,155490.0
Intel,2.0,Windows,4,DDR4,128,1,128,19990.0
AMD,4.0,Windows,8,DDR4,512,1,512,38705.0
AMD,8.0,Windows,16,DDR4,1000,1,1000,85990.0
Intel,2.0,Windows,4,DDR4,0,0,1000,33499.0
Intel,4.0,Windows,8,DDR4,512,1,512,42990.0
AMD,2.0,Windows,8,DDR4,512,1,512,35590.0
AMD,8.0,Windows,16,DDR4,1000,1,1000,150990.0
Intel,4.0,Windows,8,DDR4,512,1,512,63990.0
Intel,6.0,Windows,16,DDR4,1000,1,1000,124990.0
Intel,2.0,Windows,4,DDR4,0,0,64,21990.0
Intel,2.0,Windows,4,DDR4,256,1,256,30100.0
Intel,2.0,Windows,8,DDR4,256,1,256,36990.0
Intel,2.0,Windows,8,DDR4,512,1,512,39990.0
Intel,6.0,Windows,32,DDR5,1000,1,1000,199990.0
Intel,4.0,Windows,8,DDR4,256,1,1256,61130.0
AMD,8.0,Windows,16,DDR5,1000,1,1000,194990.0
AMD,6.0,Windows,8,DDR4,512,1,512,44990.0
Intel,2.0,Windows,8,DDR4,256,1,1256,40990.0
Intel,4.0,Windows,8,DDR4,1000,1,1000,75990.0
Intel,2.0,Windows,8,DDR4,512,1,512,46890.0
Intel,2.0,Windows,8,DDR4,256,1,256,37390.0
Intel,2.0,Windows,8,DDR4,256,1,256,36990.0
Intel,2.0,Windows,8,DDR4,512,1,512,39990.0
Intel,4.0,Windows,16,DDR4,512,1,512,68490.0
Intel,2.0,Windows,4,DDR4,0,0,64,19990.0
Intel,4.0,Windows,8,DDR4,512,1,512,39990.0
AMD,8.0,Windows,16,DDR5,1000,1,1000,196990.0
Intel,6.0,Windows,16,DDR4,512,1,512,89990.0
Intel,4.0,Windows,8,DDR4,512,1,512,59790.0
Intel,6.0,Windows,16,DDR4,1000,1,1000,125990.0
AMD,8.0,Windows,32,DDR5,2000,1,2000,249990.0
AMD,4.0,Windows,8,DDR4,512,1,512,38705.0
AMD,8.0,Windows,16,DDR4,1000,1,1000,85990.0
AMD,8.0,Windows,16,DDR5,1000,1,1000,149990.0
Intel,4.0,Windows,8,DDR4,256,1,256,36990.0
AMD,2.0,Windows,8,DDR4,512,1,512,35590.0
AMD,8.0,Windows,16,DDR4,1000,1,1000,150990.0
Intel,4.0,Windows,16,DDR4,512,1,512,85990.0
AMD,8.0,Windows,8,DDR4,512,1,512,60990.0
Intel,4.0,Windows,8,DDR5,512,1,512,87900.0
AMD,2.0,Windows,4,DDR4,0,0,1000,27490.0
Intel,4.0,Windows,8,DDR4,256,1,256,36990.0
AMD,8.0,Windows,32,DDR5,2000,1,2000,249990.0
AMD,8.0,Windows,16,DDR5,1000,1,1000,149990.0
Intel,4.0,Windows,8,DDR4,512,1,512,39990.0
AMD,2.0,Windows,8,DDR4,0,0,1000,28999.0
Intel,4.0,Windows,8,DDR5,512,1,512,87900.0
Intel,6.0,Windows,16,DDR4,512,1,1512,117990.0
AMD,4.0,Windows,8,DDR4,512,1,512,38705.0
Intel,4.0,Windows,16,DDR4,512,1,512,85990.0
Intel,4.0,Windows,8,DDR4,256,1,1256,61497.0
AMD,6.0,Windows,8,DDR4,512,1,512,70400.0
AMD,8.0,Windows,16,DDR5,1000,1,1000,196990.0
Intel,4.0,Windows,16,DDR4,512,1,512,69000.0
AMD,6.0,Windows,8,DDR4,512,1,512,64490.0
AMD,8.0,Windows,16,DDR5,1000,1,1000,149990.0
AMD,8.0,Windows,16,DDR4,1000,1,1000,85990.0
AMD,6.0,Windows,8,DDR5,512,1,512,96579.0
Intel,6.0,Windows,16,DDR4,512,1,512,101990.0
Intel,6.0,Windows,16,DDR4,512,1,512,89990.0
AMD,2.0,Windows,8,DDR4,512,1,512,35590.0
AMD,8.0,Windows,8,DDR5,512,1,512,94990.0
Intel,6.0,Windows,32,DDR5,2000,1,2000,314990.0
Intel,2.0,Windows,8,DDR4,256,1,1256,46900.0
AMD,8.0,Windows,16,DDR4,1000,1,1000,150990.0
Intel,2.0,Windows,8,DDR4,256,1,256,36990.0
Intel,2.0,Windows,8,DDR4,512,1,512,39990.0
Intel,6.0,Windows,32,DDR5,2000,1,2000,331990.0
Intel,6.0,Windows,16,DDR5,1000,1,1000,116490.0
AMD,6.0,Windows,8,DDR4,512,1,512,64590.0
Intel,6.0,Windows,16,DDR5,1000,1,1000,137990.0
Intel,4.0,Windows,8,DDR4,512,1,512,39990.0
AMD,8.0,Windows,16,DDR5,1000,1,1000,196990.0
Intel,4.0,Windows,8,DDR4,512,1,512,55690.0
Intel,6.0,Windows,16,DDR4,512,1,512,109990.0
AMD,4.0,Windows,8,DDR4,512,1,512,38705.0
AMD,8.0,Windows,16,DDR4,1000,1,1000,85990.0
Intel,6.0,Windows,8,DDR4,256,1,1256,79990.0
AMD,8.0,Windows,16,DDR4,1000,1,1000,130500.0
AMD,8.0,Windows,32,DDR5,2000,1,2000,361990.0
AMD,8.0,Windows,16,DDR5,1000,1,1000,211990.0
AMD,2.0,Windows,8,DDR4,512,1,512,35590.0
AMD,8.0,Windows,16,DDR4,1000,1,1000,150990.0
Intel,2.0,Windows,4,DDR4,256,1,256,39890.0
Intel,6.0,Windows,16,DDR4,1000,1,1000,139990.0
AMD,8.0,Windows,8,DDR4,512,1,512,73490.0
AMD,8.0,Windows,16,DDR5,1000,1,1000,194990.0
Intel,6.0,Windows,16,DDR4,256,1,1256,99990.0
Intel,4.0,Windows,16,DDR4,512,1,512,66700.0
Intel,4.0,Windows,8,DDR4,256,1,1256,68990.0
Intel,6.0,Windows,32,DDR4,1000,1,1000,434830.0
Intel,2.0,Windows,8,DDR4,256,1,256,36990.0
Intel,2.0,Windows,8,DDR4,512,1,512,39990.0
Intel,6.0,Windows,32,DDR4,1000,1,1000,345390.0
Intel,6.0,Windows,16,DDR4,512,1,512,105822.0
Intel,4.0,Windows,8,DDR4,512,1,512,39990.0
AMD,8.0,Windows,16,DDR5,1000,1,1000,196990.0
Intel,2.0,Chrome,4,DDR4,0,0,128,28490.0
Intel,4.0,Windows,16,DDR4,512,1,512,66990.0
Intel,4.0,Windows,8,DDR4,512,1,512,86999.0
Intel,2.0,Windows,8,DDR4,256,1,256,36990.0
AMD,4.0,Windows,8,DDR4,512,1,512,38705.0
AMD,8.0,Windows,16,DDR4,1000,1,1000,85990.0
Intel,2.0,Windows,4,DDR4,256,1,256,23250.0
Intel,2.0,Windows,8,DDR4,256,1,256,42390.0
AMD,2.0,Windows,8,DDR4,512,1,512,35590.0
AMD,8.0,Windows,16,DDR4,1000,1,1000,150990.0
Intel,4.0,Windows,8,DDR4,512,1,512,58990.0
Intel,6.0,Windows,16,DDR4,1000,1,1000,110990.0
Intel,4.0,Windows,8,DDR4,128,1,1128,74590.0
AMD,6.0,Windows,8,DDR4,512,1,512,71990.0
AMD,8.0,Windows,16,DDR5,1000,1,1000,194990.0
AMD,6.0,Windows,8,DDR4,512,1,512,44990.0
Intel,4.0,Windows,16,DDR4,512,1,512,84990.0
AMD,8.0,Windows,16,DDR5,1000,1,1000,119990.0
Intel,2.0,Windows,8,DDR4,256,1,256,36990.0
Intel,2.0,Windows,8,DDR4,512,1,512,39990.0
Intel,6.0,Windows,32,DDR4,1000,1,1000,214990.0
Intel,2.0,Windows,8,DDR4,512,1,512,48790.0
AMD,8.0,Windows,16,DDR4,512,1,512,76000.0
AMD,8.0,Windows,32,DDR4,1000,1,1000,224990.0
Intel,4.0,Windows,8,DDR4,512,1,512,39990.0
AMD,8.0,Windows,16,DDR5,1000,1,1000,196990.0
Intel,2.0,Windows,8,DDR4,512,1,512,49990.0
Intel,6.0,Windows,16,DDR5,512,1,512,164990.0
AMD,4.0,Windows,8,DDR4,512,1,512,38705.0
AMD,8.0,Windows,16,DDR4,1000,1,1000,85990.0
AMD,2.0,Windows,8,DDR4,256,1,256,31490.0
Intel,2.0,Windows,8,DDR4,512,1,512,48077.0
AMD,8.0,Windows,16,DDR4,1000,1,1000,154990.0
Intel,6.0,Windows,32,DDR4,1000,1,1000,224990.0
AMD,2.0,Windows,8,DDR4,512,1,512,35590.0
AMD,8.0,Windows,16,DDR4,1000,1,1000,150990.0
Intel,4.0,Windows,8,DDR4,0,0,1000,44990.0
Intel,4.0,Windows,8,DDR4,512,1,512,65990.0
AMD,8.0,Windows,8,DDR4,512,1,512,73490.0
AMD,8.0,Windows,16,DDR5,1000,1,1000,194990.0
Intel,2.0,Windows,8,DDR4,0,0,1000,31990.0
Intel,2.0,Windows,8,DDR4,256,1,256,38980.0
AMD,6.0,Windows,8,DDR4,512,1,512,68990.0
Intel,2.0,Windows,8,DDR4,256,1,256,43090.0
Intel,2.0,Windows,8,DDR4,512,1,512,39990.0
Intel,4.0,Windows,8,DDR4,512,1,512,39990.0
AMD,8.0,Windows,16,DDR4,1000,1,1000,154990.0
Intel,4.0,Windows,8,DDR4,512,1,512,65990.0
AMD,8.0,Windows,16,DDR5,1000,1,1000,196990.0
AMD,4.0,Windows,8,DDR4,512,1,512,38705.0
Intel,2.0,Windows,8,DDR4,512,1,512,49348.0
Intel,6.0,Windows,16,DDR5,512,1,512,221774.0
AMD,6.0,Windows,8,DDR4,512,1,512,73990.0
AMD,8.0,Windows,16,DDR4,512,1,512,77990.0
AMD,8.0,Windows,16,DDR4,1000,1,1000,85990.0
AMD,2.0,Windows,8,DDR4,512,1,512,35590.0
Intel,6.0,Windows,16,DDR4,1000,1,1000,214790.0
Intel,6.0,Windows,16,DDR4,512,1,512,199990.0
AMD,8.0,Windows,16,DDR4,1000,1,1000,150990.0
Intel,2.0,Windows,8,DDR4,256,1,256,36990.0
Intel,2.0,Windows,8,DDR4,512,1,512,48077.0
AMD,6.0,Windows,8,DDR4,512,1,512,52414.0
Intel,6.0,Windows,16,DDR5,1000,1,1000,179990.0
Intel,2.0,Chrome,4,DDR4,0,0,64,25990.0
Intel,2.0,Windows,8,DDR4,256,1,256,36990.0
Intel,2.0,Windows,8,DDR4,512,1,512,39990.0
Intel,4.0,Windows,16,DDR4,512,1,512,80615.0
AMD,8.0,Windows,16,DDR5,1000,1,1000,155990.0
Intel,4.0,Windows,8,DDR4,512,1,512,39990.0
AMD,8.0,Windows,16,DDR5,1000,1,1000,196990.0
Intel,6.0,Windows,16,DDR4,512,1,512,49990.0
Intel,6.0,Windows,16,DDR4,1000,1,1000,157990.0
Intel,4.0,Windows,16,DDR5,512,1,512,92990.0
AMD,8.0,Windows,16,DDR5,1000,1,1000,171990.0
AMD,4.0,Windows,8,DDR4,512,1,512,38705.0
AMD,8.0,Windows,16,DDR4,1000,1,1000,85990.0
Intel,4.0,Windows,8,DDR4,0,0,1000,44990.0
AMD,8.0,Windows,16,DDR5,1000,1,1000,151990.0
AMD,2.0,Windows,8,DDR4,512,1,512,35590.0
AMD,8.0,Windows,16,DDR4,1000,1,1000,150990.0
Intel,6.0,Windows,16,DDR4,2000,1,2000,233990.0
Intel,4.0,Windows,16,DDR5,512,1,512,76590.0
AMD,8.0,Windows,16,DDR4,512,1,512,90000.0
Intel,2.0,Chrome,4,DDR4,0,0,64,23490.0
AMD,8.0,Windows,8,DDR4,512,1,512,73490.0
AMD,8.0,Windows,16,DDR5,1000,1,1000,194990.0
Intel,6.0,Windows,16,DDR5,512,1,512,125990.0
Intel,4.0,Windows,8,DDR4,256,1,1256,50990.0
